"","country_name","year","elec_access","agri_forest_fish","agri_land","arable_land","armed_forces_perc","armed_forces_total","birth_rate","educ_expend","tourism","mortality","pop","health_expend","gdp_usd","income","gdp_perc"
"55","Philippines",2012,87.1,13.0958070102046,41.6876278632995,18.7141563537579,0.412974176387883,165500,24.457,2.66454243659973,7.14e+09,22.7,98032317,4.18,261920540972.102,262568198012.994,5.04933014689183
"56","Philippines",2013,87.5,12.4734251047231,41.8184257302881,18.7476942683704,0.405743683061179,165500,24.286,2.66454243659973,8.4e+09,22.4,99700107,4.27,283902828581.65,287331942359.665,4.96480133874881
"57","Philippines",2014,89.8,12.2716816208658,41.9156856826642,18.7476942683704,0.392367492104345,165500,23.827,2.66454243659973,1.113e+10,22.2,101325201,3.7,297483555344.802,299541131461.62,4.64233602675324
"58","Philippines",2015,89.1,10.9964991547046,42.0129456350404,18.7476942683704,0.388295811679488,165500,23.252,2.8305230140686,1.1868e+10,22.1,103031365,3.9,306445871246.718,311490681521.768,4.58721825070494
"59","Philippines",2016,92,10.2051255326965,42.1102055874166,18.7476942683704,0.378227800044971,165500,22.836,3.3012809753418,1.1681e+10,22.1,104875266,3.95,318627003012.52,323895918510.462,5.26557127641811
"60","Philippines",2017,93,10.1829541315339,42.224234497099,18.7476942683704,0.356022839539971,153000,22.664,3.9638409614563,1.2442e+10,22.1,106738501,3.96,328480736798.792,333702122642.386,5.06439325253496
"61","Philippines",2018,94.2,9.65014035825873,42.3013717007077,18.7476942683704,0.350111205684135,153350,22.445,3.85502767562866,1.2474e+10,22.1,108568836,3.95,346841896583.515,350371847985.215,4.54870091782639
"62","Philippines",2019,95.3,8.82032374716967,42.3785089043163,18.7476942683704,0.343743147314031,155000,22.254,3.40748643875122,1.2926e+10,22.2,110380804,4.17,376823402244.928,375755437994.094,4.37652555122709
"63","Philippines",2020,96.4,10.1853110317615,42.455646107925,18.7476942683704,0.370116475183254,157000,22.039,3.85829043388367,4.872e+09,22.2,112190977,5.16,361751145451.597,350838234571.58,-10.9781941392831
"64","Philippines",2021,97.5,10.0691640204876,42.5361371029949,18.7476942683704,0.385340630043162,156381.210981195,21.813,3.87249755859375,919807312.183471,22.1,113880328,5.87,394087359848.11,361503537885.292,4.14651416904204
"65","Philippines",2022,94.8,9.55176804414326,42.6166280980648,18.7975463059697,0.403747773274478,155773.127919932,21.618,3.57960081100464,-4036428491.45749,21.8,115559009,5.1,404353369604.631,371861372462.255,6.01819483656472
"66","Nigeria",2010,48,23.8937040912791,73.5575392250513,39.461115320004,0.299149843842858,162000,42.094,0.496685653924942,8.348e+09,84.2,160952853,3.29653287,366990417129.04,293431576478.3,5.08187485498044
"67","Nigeria",2011,55.9,22.2347109931956,73.7211370598505,39.4951524534185,0.291108866737621,162000,41.798,0.564658761024475,9.533e+09,82.9,165463745,3.32077932,414466676831.16,323487212414.446,2.43700723662286
"68","Nigeria",2012,53,21.8599586165277,73.8858328666952,39.5302875588788,0.284817156879189,162000,41.241,0.549233078956604,9.24e+09,81.8,170075932,3.35984254,463971018239.281,371531355255.71,1.4035087785572
"69","Nigeria",2013,55.6,20.7586228322439,74.0494307014943,39.5643246922933,0.278720413849576,162000,40.603,0.534206748008728,9.152e+09,80.8,174726123,3.4206934,520117180313.906,423720250266.34,3.83236618064009
"70","Nigeria",2014,54.2,19.9902547680805,74.2152244803847,39.5994597977536,0.272131483450702,162000,40.069,0.470742553472519,9.204e+09,80,179379016,3.34840417,574183763411.508,483590240570.028,3.55216229892477
"71","Nigeria",2015,52.5,20.6318934800012,74.3733324549557,39.6334969311681,0.328079339557917,2e+05,39.51,0.436954915523529,9.017e+09,79.2,183995785,3.58194995,493026682800.63,427297983711.111,0.0769616167241907
"72","Nigeria",2016,59.3,20.9831097083173,74.542420149983,39.6686320366283,0.320234083429369,2e+05,39.128,0.393045634031296,4.524e+09,78.2,188666931,3.64773679,404649125252.16,354205619259.166,-4.05270636180217
"73","Nigeria",2017,54.4,20.8465714300542,74.7049200127365,39.7026691700429,0.335663430808745,215000,38.689,0.396354019641876,8.194e+09,77,193495907,3.74762511,375745731053.427,321488689032.274,-1.70987309225109
"74","Nigeria",2018,56.5,21.203773720121,74.8729097357181,39.9881419019072,0.339410082750309,223000,38.248,0.419998496770859,1.3218e+10,75.7,198387623,3.09069347,421739251509.08,348408553490.782,-0.590389271247744
"75","Nigeria",2019,55.4,21.9062959303516,75.0376055425629,40.4844252665327,0.330990691057504,223000,37.849,0.358478993177414,1.6406e+10,74,203304492,2.98547053,474517490844.461,375139240375.531,-0.26345637824295
"76","Nigeria",2020,55.4,24.1433058670212,75.2033993214533,40.4844252665327,0.324918175986874,223000,37.467,0.359637647867203,6.613e+09,72.3,208327405,3.38063431,432198898467.795,363360574592.209,-4.1620592907919
"77","Nigeria",2021,59.5,23.357058761851,75.3691931003437,40.4844252665327,0.328008794802124,227920.829079751,37.117,0.381919115781784,10461290907.8185,70.5,213401323,4.07625723,440838992188.478,363312013594.576,1.18282822257881
"78","Nigeria",2022,60.5,23.6918718404603,75.5349868792341,40.5913740948847,0.329880661110592,232559.547391355,36.611,0.348516702651978,10623851746.8815,68.5,218541212,4.69991395035468,472624596925.938,363263452596.943,0.823296497959916
"79","Mexico",2010,99.2,3.09200838849783,52.3712029630392,11.7971141233056,0.69527690799178,331750,20.152,4.93695020675659,9.001e+09,16.4,112532401,5.73688889,1105424238731.09,837005140326.317,3.58800272877093
"80","Mexico",2011,99,2.97569483968178,52.1217109493557,11.6854857378019,0.676185152639135,329750,19.917,4.90405988693237,9.704e+09,15.9,114150481,5.51883602,1229013703416.76,909917998364.882,1.97772849965163
"81","Mexico",2012,99.1,3.04872937148888,51.7050335656781,11.6011214280203,0.655397083179877,329750,19.635,4.88348007202148,1.0735e+10,15.4,115755909,5.66522074,1255110424817.79,923120025713.203,2.11702296200693
"82","Mexico",2013,99.1,3.02454277578135,51.1772422130199,11.5697420201137,0.636333834905303,325450,19.326,4.50858020782471,1.197e+10,14.9,117290686,5.80923605,1327436290282.67,979078425937.207,-0.467572586540285
"83","Mexico",2014,99.2,3.02713651715738,50.7976028190025,11.3999845675043,0.650574254470072,336050,18.711,5.06808996200562,1.2556e+10,14.4,118755887,5.55340958,1364507717614.13,1029001447035.09,1.23907995260342
"84","Mexico",2015,99,3.0851863436743,50.7626224954345,11.3418555003987,0.637374655973212,336050,17.968,5.05087995529175,1.2668e+10,14,120149897,5.72277355,1213294467716.88,930698815652.538,1.51074466053764
"85","Mexico",2016,99.5,3.2462890783797,50.5866920445485,11.1880449600041,0.627334712330959,336050,17.42,4.75795984268188,1.2823e+10,13.5,121519221,5.55345821,1112233497452.7,850738271614.726,0.625682747204579
"86","Mexico",2017,100,3.29751177575275,49.8706242444507,10.4205355076005,0.618868733005515,336000,16.947,4.39752006530762,1.3647e+10,13.1,122839258,5.45759058,1190721475906,909856329249.081,0.777009685996944
"87","Mexico",2018,99.5,3.29695945169195,49.6494251395355,10.2368888088685,0.628610048349686,348000,16.465,4.13945007324219,1.4074e+10,12.7,124013861,5.38345814,1256300182879.73,949012341118.881,1.00624881882332
"88","Mexico",2019,99.6,3.3122180551361,49.4385143650814,9.97968054733918,0.577275700450583,328000,15.71,4.38527996630797,1.23e+10,12.2,125085311,5.44796371,1305211135822.61,989328890501.085,-1.10575827225217
"89","Mexico",2020,99.4,3.71191822328195,49.969392216878,10.3248540343116,0.64172650248781,341000,15.565,4.50059986114502,4.286e+09,11.8,125998302,6.22204065,1120832412468.85,828724024427.823,-9.28666749671056
"90","Mexico",2021,100,3.79192627596241,49.9632192186013,10.3315414491113,0.594651315258942,338065.715700589,14.857,4.24952983856201,-3.728e+09,11.4,126705138,6.07868719,1313069763986.6,950153268146.986,5.14933266062441
